,fscore,model,p2uncover,reverce,utility_score
0,0.6675,Random Forest,0.05,1.0,betweenness
1,0.43875000000000003,Random Forest,0.05,0.0,betweenness
2,0.6625,Random Forest,0.05,1.0,clodeness
3,0.8875,Random Forest,0.05,0.0,clodeness
4,0.5900000000000001,Random Forest,0.05,1.0,degree
5,0.63125,Random Forest,0.05,0.0,degree
6,0.8366013071895425,Random Forest,0.1,1.0,betweenness
7,0.6091503267973856,Random Forest,0.1,0.0,betweenness
8,0.7882352941176471,Random Forest,0.1,1.0,clodeness
9,0.8823529411764707,Random Forest,0.1,0.0,clodeness
10,0.7830065359477125,Random Forest,0.1,1.0,degree
11,0.5529411764705883,Random Forest,0.1,0.0,degree
12,0.8729927007299271,Random Forest,0.2,1.0,betweenness
13,0.708029197080292,Random Forest,0.2,0.0,betweenness
14,0.8642335766423358,Random Forest,0.2,1.0,clodeness
15,0.8759124087591241,Random Forest,0.2,0.0,clodeness
16,0.8759124087591241,Random Forest,0.2,1.0,degree
17,0.4,Random Forest,0.2,0.0,degree
18,0.8566666666666667,Random Forest,0.3,1.0,betweenness
19,0.6033333333333333,Random Forest,0.3,0.0,betweenness
20,0.8133333333333335,Random Forest,0.3,1.0,clodeness
21,0.875,Random Forest,0.3,0.0,clodeness
22,0.835,Random Forest,0.3,1.0,degree
23,0.875,Random Forest,0.3,0.0,degree
24,0.19125,Ada Boost,0.05,1.0,betweenness
25,0.28125,Ada Boost,0.05,0.0,betweenness
26,0.2625,Ada Boost,0.05,1.0,clodeness
27,0.8875,Ada Boost,0.05,0.0,clodeness
28,0.2625,Ada Boost,0.05,1.0,degree
29,0.34375,Ada Boost,0.05,0.0,degree
30,0.8300653594771242,Ada Boost,0.1,1.0,betweenness
31,0.24836601307189543,Ada Boost,0.1,0.0,betweenness
32,0.7071895424836601,Ada Boost,0.1,1.0,clodeness
33,0.8823529411764707,Ada Boost,0.1,0.0,clodeness
34,0.7058823529411764,Ada Boost,0.1,1.0,degree
35,0.3137254901960784,Ada Boost,0.1,0.0,degree
36,0.8759124087591241,Ada Boost,0.2,1.0,betweenness
37,0.1824817518248175,Ada Boost,0.2,0.0,betweenness
38,0.7956204379562044,Ada Boost,0.2,1.0,clodeness
39,0.8759124087591241,Ada Boost,0.2,0.0,clodeness
40,0.8759124087591241,Ada Boost,0.2,1.0,degree
41,0.21897810218978103,Ada Boost,0.2,0.0,degree
42,0.875,Ada Boost,0.3,1.0,betweenness
43,0.8083333333333333,Ada Boost,0.3,0.0,betweenness
44,0.875,Ada Boost,0.3,1.0,clodeness
45,0.875,Ada Boost,0.3,0.0,clodeness
46,0.875,Ada Boost,0.3,1.0,degree
47,0.875,Ada Boost,0.3,0.0,degree
